"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"9.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","123.19","300.00","13.00","12.70","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"10.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.00","100.00","0.00","0.00","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"10.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","8.17","100.00","0.00","2.94","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"10.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","34.98","100.00","0.00","6.13","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"10.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","31.73","-1.00","0.00","5.67","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"10.00","car3","5.00","E0","E0_0","E0_0","","0.00","9.56","-1.00","0.00","3.17","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"10.00","car2","0.00","E0","E0_0","E0_0","","0.00","33.70","-1.00","0.00","5.95","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"10.00","car6","0.00","E12","E12_0","E12_0","","100.97","128.25","-1.00","2.89","2.72","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"10.00","car0","0.00","E12","E12_0","E12_0","","114.09","141.58","-1.00","2.78","2.92","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"10.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","136.21","300.00","13.00","13.02","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"11.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.45","100.00","0.00","0.45","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"11.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","11.90","100.00","0.00","3.73","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"11.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","41.65","100.00","0.00","6.67","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"11.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","37.81","-1.00","0.00","6.07","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"11.00","car3","5.00","E0","E0_0","E0_0","","0.00","13.19","-1.00","0.00","3.63","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"11.00","car2","0.00","E0","E0_0","E0_0","","0.00","40.19","-1.00","0.00","6.49","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"11.00","car6","0.00","E12","E12_0","E12_0","","100.97","131.11","-1.00","2.89","2.86","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"11.00","car0","0.00","E12","E12_0","E12_0","","114.09","144.42","-1.00","2.78","2.85","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"11.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","149.04","300.00","13.00","12.83","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"12.00","car7","10.00","-E6","-E6_0","-E6_0","E2_0","0.00","1.31","100.00","0.00","0.86","12.10","10.00","0.00","54.00","64.00","500.00","0","0.89","","80","route2"
"12.00","car5","5.00","-E6","-E6_0","-E6_0","E2_0","0.00","16.23","100.00","0.00","4.33","11.36","5.00","0.00","55.00","60.00","500.00","0","0.83","","80","route2"
"12.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","48.79","100.00","0.00","7.14","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"12.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","44.36","-1.00","0.00","6.55","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"12.00","car3","5.00","E0","E0_0","E0_0","","0.00","17.62","-1.00","0.00","4.43","-1.00","5.00","5.00","96.00","-1.00","607.46","0","1.08","end","80","route0"
"12.00","car2","0.00","E0","E0_0","E0_0","","0.00","47.39","-1.00","0.00","7.20","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"12.00","car6","0.00","E12","E12_0","E12_0","","100.97","133.85","-1.00","2.89","2.74","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"12.00","car0","0.00","E12","E12_0","E12_0","","114.09","147.31","-1.00","2.78","2.89","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"12.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","161.88","300.00","13.00","12.84","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
